,dayreturn,price,Beta,3MoFear,MarketCapitalization,JSpread,VWkAvg,ndr,yrHi,yrLo,qHi,qLo,mHi,mLo,PriceToBook,ndvratio,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,Y
24,0.25906742227979285,19.440001000000002,1.3412,-0.13067824292897978,279.078,5.8,15.086666666666666,0.01800411430019988,0.8474280798854368,1.724933540372671,1.0,1.6200000833333335,1.0,1.387580371163455,3.5907,0.3836405529953917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
25,0.1207349081364828,4.27,1.9681,-0.13067824292897978,651.7445,5.8,15.086666666666666,-0.0983606557377048,0.3297297297297297,1.4878048780487803,0.723728813559322,1.2062146892655365,0.8877338877338877,1.2062146892655365,7.948,0.5176887681979332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
26,0.07850707850707872,8.38,2.0563,-0.13067824292897978,681.9277,5.8,15.086666666666666,-0.08711217183770892,0.27822044229015797,1.5017921146953406,0.7652968036529681,1.303265940902022,0.8112294288480155,1.2057553956834532,0.5955,0.5139175200908359,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
28,0.10759493670886067,3.5,1.0471,-0.1306868236890424,219.1833,5.85,15.153333333333334,-0.0028571428571427804,0.6352087114337568,1.583710407239819,0.9090909090909091,1.2727272727272727,1.0,1.2727272727272727,0.8054,1.6984815618221258,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
29,0.0830903030943766,29.719998999999998,0.6888,-0.1306868236890424,11686.9578,5.85,15.153333333333334,-0.050807538721653334,0.641346547259387,1.1339183568835693,0.7224112718135943,1.1339183568835693,0.8832094274466907,1.1339183568835693,2.6854,0.16942675159235668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30,0.26608187134502925,17.32,1.7582,-0.1306868236890424,641.0522,5.85,15.153333333333334,-0.015011605080831547,1.0,2.5773809523809526,1.0,1.6815533980582524,1.0,1.3032355154251318,2.5981,0.19714462614269584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
31,0.2116980355286724,32.110003999999996,1.2345,-0.10926014936027717,409.5872,5.91,15.214999999999998,0.02709435975155916,0.9533850867075568,1.5579817564289178,1.0,1.3692967794109645,1.0,1.240247354190807,1.4438,0.42503217503217505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
33,0.10306845003933907,14.02,1.1662,-0.10926014936027717,1617.908,5.91,15.214999999999998,-0.02781740370898711,0.9668965517241379,1.6283391405342627,1.0,1.1683333333333332,1.0,1.1501230516817063,1.1462,0.5755498127735879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
34,0.10481927710843375,27.51,1.1453,-0.1277321198805179,684.6689,5.93,15.113333333333335,0.0050890585241729624,1.0,1.8933241569167243,1.0,1.4782374272843941,1.0,1.4283489096573208,6.576,0.553817180935825,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
35,0.139361998297985,95.0,1.3976,-0.1277321198805179,258.1806,5.93,15.113333333333335,-0.02894736842105261,0.9711715395624617,1.7790261505982714,0.9711715395624617,1.3024403262286721,1.0,1.3024403262286721,13.9234,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37,0.2124999999999999,4.85,1.349,-0.1277321198805179,309.1826,5.93,15.113333333333335,-0.05567010309278342,0.820642978003384,2.4619289340101522,1.0,1.7700729927007297,1.0,1.283068783068783,6.2877,0.3628783428868499,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
39,0.18137254901960786,2.41,1.2382,-0.1277321198805179,352.0837,5.93,15.113333333333335,0.24896265560165953,1.0,1.959349593495935,1.0,1.544871794871795,1.0,1.4011627906976745,33.3333,3.3424018323115843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
40,0.08219178082191791,2.37,1.1499,-0.14492291040752026,1664.0721,5.91,15.084999999999999,0.1518987341772151,0.7138554216867471,2.1545454545454543,1.0,2.078947368421053,1.0,1.6344827586206898,110.8564,4.697899483118882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
43,0.0974178346585779,37.400002,0.6547,-0.14492291040752026,3909.4334,5.91,15.084999999999999,0.014438421687784864,1.0,1.7038724508486356,1.0,1.641070660769168,1.0,1.130934442092531,17.4493,0.8085336729820093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44,0.09248554913294793,3.78,1.044,-0.14492291040752026,2373.4704,5.91,15.084999999999999,0.0185185185185186,0.5753424657534246,1.6016949152542372,0.6067415730337078,1.277027027027027,1.0,1.1454545454545455,33.0226,0.8176501169742657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
46,0.24896265560165953,3.01,1.2556,-0.14492291040752026,439.7394,5.91,15.084999999999999,0.0830564784053156,1.0,2.447154471544715,1.0,1.9294871794871793,1.0,1.75,41.6321,0.9547102591857085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
47,0.07794676806083656,5.67,1.0644,-0.14492291040752026,260.4409,5.91,15.084999999999999,-0.007054673721340388,0.18824700570229064,1.2352941176470589,0.4621026894865526,1.2352941176470589,0.8804347826086956,1.2352941176470589,1.6171,1.0503291278113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
48,0.1518987341772151,2.73,1.1626,-0.12512077429485624,1916.8426,5.93,15.173333333333332,-0.05128205128205132,0.822289156626506,2.4818181818181815,1.0,2.3947368421052633,1.0,1.8827586206896552,127.6954,0.45449225150990213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
49,0.0830564784053156,3.26,1.2742,-0.12512077429485624,476.2626,5.93,15.173333333333332,-0.10429447852760731,1.0,2.6504065040650406,1.0,2.0897435897435894,1.0,1.8953488372093021,45.0899,0.40172048079189254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
50,0.09509202453987742,10.71,2.6969,-0.12512077429485624,730.0543,5.93,15.173333333333332,-0.04201680672268915,0.9161676646706588,2.434090909090909,0.9657348963029757,1.4036697247706422,0.9907493061979649,1.1261829652996846,4.9885,0.3623828427802964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51,0.11633109619686821,4.99,1.3909,-0.1104980482959107,318.1075,5.93,15.155,-0.038076152304609256,0.8443316412859561,2.532994923857868,1.0,1.8211678832116787,1.0,1.3201058201058202,6.4692,0.3514368503602095,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
52,0.08531994981179425,8.65,1.0073,-0.1104980482959107,399.7056,5.93,15.155,0.016184971098265777,0.7870791628753412,1.8096234309623431,1.0,1.8096234309623431,1.0,1.3579277864992152,0.4359,0.6799643414308001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
53,0.14258555133079853,6.01,1.419,-0.1104980482959107,371.8792,5.93,15.155,-0.014975041597337757,0.5585501858736059,1.7573099415204678,1.0,1.7073863636363635,1.0,1.3690205011389522,0.7599,0.3537996898212391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54,0.07716701902748402,10.19,2.0767,-0.1104980482959107,1968.1292,5.93,15.155,-0.023552502453385693,0.765015015015015,1.6898839137645105,0.765015015015015,1.0910064239828694,0.9331501831501832,1.0910064239828694,1.1577,0.4704091482884087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,0.07592412587412589,21.540001,1.0473,0.02363335355751328,1444.3432,6.3,17.99999983333333,-0.0018570565525971583,0.977313975620963,1.7190743016759777,0.977313975620963,1.2379310919540232,0.977313975620963,1.075924125874126,6.5764,0.5040183696900115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
57,0.09142857142857141,5.73,1.3382,0.02363335355751328,284.2705,6.3,17.99999983333333,0.02094240837696315,0.5355140186915889,1.2217484008528785,0.9965217391304348,1.1814432989690724,0.9965217391304348,1.1104651162790697,0.854,0.5837137569401604,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
58,0.0996563916344988,3.199999,1.9418,0.02363335355751328,649881.7774,6.3,17.99999983333333,0.06562502050781882,0.6639004829462585,1.6243657991704563,0.8556149346563997,1.5384617973374024,0.8791208459123203,1.0996563916344988,209.3029,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
59,0.13746630727762787,4.22,1.7726,0.02363335355751328,219.1795,6.3,17.99999983333333,0.004739336492891155,0.3243658474738011,1.2339181286549707,0.6998341625207296,1.172222222222222,0.9678899082568806,1.172222222222222,1.3293,0.3577759871071716,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
60,0.07938184332215825,30.73,1.1501,0.02363335355751328,1963.5855,6.3,17.99999983333333,-0.00260331923202084,0.7113425761263292,1.1823778376298577,0.7998438729746941,1.0793818433221583,0.9513932183093876,1.0793818433221583,2.7519,0.3878666777676019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
61,0.10110803324099726,7.95,1.4556,0.02363335355751328,380.5301,6.3,17.99999983333333,-0.01383647798742138,0.348990327085587,1.414590747330961,0.6636060100166945,1.1865671641791045,0.8557588805166847,1.1011080332409973,1.3871,0.5679473106476399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
62,0.07812501220715529,1.3799860000000002,1.8686,-0.0043664295449848955,209.5061,6.24,18.256666666666664,-0.028985076660198117,0.5207547397652731,1.5505617472536242,0.8846154832357256,1.0781250122071553,0.8846154832357256,1.0781250122071553,0.7917,0.45569620253164556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
63,0.10015597816399291,35.259997999999996,1.6824,-0.0043664295449848955,737.3219,6.24,18.256666666666664,0.020987011967499303,1.0,2.2358908053265694,1.0,1.5257462775531683,1.0,1.3832874852883483,2.1922,0.40907679033649696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
64,0.08168316831683176,8.74,1.1872,-0.0043664295449848955,223.2464,6.24,18.256666666666664,-0.02517162471395884,0.6785714285714285,1.2740524781341107,1.0,1.237960339943343,1.0,1.1907356948228884,1.2501,0.2809477756286267,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
65,0.07636361038961037,41.439999,1.4105,-0.0043664295449848955,1139.4016,6.24,18.256666666666664,0.008928619906578561,0.8847138983774551,1.7485230907796163,0.9937649401974834,1.548001456854688,0.9937649401974834,1.1121846812766873,8.2207,0.6220973228812305,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
66,0.08621501249573593,22.93,0.6672,-0.0043664295449848955,9016.889,6.24,18.256666666666664,-0.04273872655909283,0.4963203355774819,1.086215012495736,0.5573651083462594,1.086215012495736,0.7715343462831207,1.086215012495736,1.5558,0.40772764117806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68,0.13340683572216094,10.28,2.0466,-0.0043664295449848955,1991.6347,6.24,18.256666666666664,-0.010700389105058328,0.7717717717717717,1.704809286898839,0.7717717717717717,1.1615819209039548,1.0,1.1615819209039548,1.0719,0.5947369152321009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70,0.14535850472484713,41.209998999999996,1.6336,0.02546145979749881,877.4048,6.23,19.25333283333333,0.04028148605390647,0.743460202056648,2.2894443888888887,1.0,1.22357479216152,1.0,1.2232116421256052,4.6318,0.4640321817321344,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
71,0.15168539325842678,2.05,1.3855,0.02546145979749881,296.2112,6.23,19.25333283333333,0.0,0.23644752018454437,2.0918367346938775,0.7454545454545454,1.357615894039735,0.7649253731343283,1.2275449101796407,5.2782,0.8171701112877583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
73,0.10729927398902461,91.019997,1.5542,0.022735176455796258,247.3642,6.16,19.194999499999998,-0.02384090388401139,0.9304845328153752,1.7044942620039603,0.9304845328153752,1.2478748903790817,0.9581052315789474,1.1691714751232236,13.8727,0.12195121951219512,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
74,0.10278573487031695,22.959999,1.3155,0.022735176455796258,1990.9658,6.16,19.194999499999998,-0.06968632707693057,0.16450525075921218,1.1371965261418262,0.4682847127938959,1.1371965261418262,0.789546045392022,1.1371965261418262,0.6204,0.5799684213662227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
75,0.16436251920122902,7.58,1.3548,0.022735176455796258,215.9412,6.16,19.194999499999998,-0.09234828496042213,0.3712047012732615,1.166153846153846,0.7184834123222749,1.166153846153846,0.959493670886076,1.166153846153846,0.9631,0.5679438058748404,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
76,0.08510638297872353,1.02,1.635,0.022735176455796258,6106.0769,6.16,19.194999499999998,0.0,0.5284974093264249,1.186046511627907,0.6986301369863014,1.0851063829787235,0.9026548672566372,1.0851063829787235,104.1667,0.387373343725643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
77,0.07789232531500567,9.41,1.2827,0.022735176455796258,232.5776,6.16,19.194999499999998,0.0031880977683313994,0.6636107193229902,1.3051317614424411,0.8827392120075047,1.2189119170984457,0.9198435972629521,1.0778923253150057,0.8605,0.3814993954050786,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
78,0.08617594254937155,6.05,1.6848,0.022735176455796258,784.2799,6.16,19.194999499999998,-0.0760330578512397,0.4245614035087719,1.167953667953668,0.6692477876106195,1.0861759425493716,0.7423312883435582,1.0861759425493716,13.2128,0.8161693936477382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
80,0.08521303258145352,4.33,1.9312,0.04621455856170731,212.198,6.16,18.903332833333334,-0.023094688221708903,0.4005550416281221,1.3833865814696487,0.8490196078431373,1.3364197530864197,1.0,1.3364197530864197,1.0066,0.6941835557752513,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
81,0.11830848203373279,45.75,2.0307,0.04621455856170731,2917.5626,6.16,18.903332833333334,-0.013114710382513661,1.0,3.4897025171624714,1.0,1.4368718592964824,1.0,1.1849261542365668,32.4174,0.2867596105284176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
82,0.16193311956023826,50.73,1.6324,0.04371064721653983,1080.0957,6.17,18.626666333333333,-0.05677118076089094,0.9152083709182752,2.8183333333333334,1.0,1.5062351543942991,1.0,1.5057881123712706,5.7018,0.622803195352215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
83,0.10671348230027466,22.09,1.4805,0.04371064721653983,705.908,6.17,18.626666333333333,-0.04300593028519695,0.9384026789123756,2.6423444976076556,0.9513350969567226,1.2872960372960374,1.0,1.2157402311502474,3.2643,0.30144786792619405,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
84,0.5211170311046835,65.910004,1.0444,0.04371064721653983,2672.7743,6.17,18.626666333333333,-0.0666060344951579,1.0,2.489048489425982,1.0,2.115211938382542,1.0,1.696088582190206,5.6821,0.43175978831920847,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
85,0.12197686645636163,21.34,0.7539,0.04371064721653983,309.3569,6.17,18.626666333333333,-0.05107778819119024,0.9505567505319933,1.5588020452885318,0.9505567505319933,1.1553871767941082,0.9625620207487595,1.1219768664563616,3.909,24.788029925187033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
86,0.12100405232773959,52.25,0.6922,0.04371064721653983,39615.4275,6.17,18.626666333333333,-0.02392344497607657,0.932536157996362,1.4784946236559138,0.932536157996362,1.173366296280402,1.0,1.1503743351111553,5.4167,0.4136247907220817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
87,0.07865708943448269,133.979996,1.3465,0.04371064721653983,10589.1093,6.17,18.626666333333333,-0.017539864682485806,0.9704476165500161,1.9347291841155234,0.9704476165500161,1.235294092156501,0.9704476165500161,1.0978367330560739,8.6994,0.3014127971454747,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
89,0.11888111888111874,16.0,1.3297,0.04371064721653983,2426.2816,6.17,18.626666333333333,-0.03125,0.6831767719897524,1.1363636363636365,0.8355091383812011,1.13314447592068,0.9950248756218907,1.13314447592068,7.9483,0.38194258316209534,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
90,0.08823529411764719,1.11,1.6409,0.04371064721653983,6644.8483,6.17,18.626666333333333,0.03603603603603589,0.5751295336787565,1.2906976744186047,0.7602739726027398,1.1808510638297873,0.9823008849557524,1.1808510638297873,113.3578,0.8219766728054021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,0.09908536585365857,14.42,0.703,0.04371064721653983,5670.4553,6.17,18.626666333333333,0.011789181692094308,0.3121212053653419,1.0990853658536586,0.35051046063467334,1.0990853658536586,0.4851951711034715,1.0990853658536586,0.9784,0.9617681366319052,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93,0.07858243451463798,14.0,1.7968,0.04371064721653983,395.7054,6.17,18.626666333333333,0.030000000000000027,0.6460544531610521,1.9444444444444444,0.8766437069505322,1.1391375101708707,0.9582477754962355,1.1084718923198733,2.4428,0.3408844569694342,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
94,0.07798890814558068,6.219996,1.6087,0.04371064721653983,1348.1106,6.17,18.626666333333333,-0.025722042264978873,0.2968971412557793,1.0779889081455807,0.7165893183652859,1.0779889081455807,0.8382741675810869,1.0779889081455807,1.0591,0.42441095829339515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
95,0.08216716605069374,30.16,1.6284,0.04371064721653983,2066.9557,6.17,18.626666333333333,-0.0026525198938992522,1.0,1.7741176470588236,1.0,1.2661628883291351,1.0,1.1573292846250687,1.8291,0.0992906439508866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
96,0.08646998982706,10.68,1.6003,0.06679743725488274,361.6444,6.14,18.666666333333335,-0.004681647940074751,1.0,2.331877729257642,1.0,1.2108843537414966,1.0,1.1349628055260361,5.8886,0.8828318584070797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
97,0.11649747777160924,29.709999,1.1774,0.06679743725488274,627.7788,6.14,18.666666333333335,-0.024570818733450572,0.9449744928443227,1.486243071535768,0.9973144680324113,1.1440123274552303,0.9973144680324113,1.122826913183179,3.9289,0.38902147971360385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
98,0.07547169811320753,3.42,1.4894,0.04965544976657932,499.7258,6.14,18.328333166666667,-0.04678362573099415,0.5916955017301038,2.0602409638554215,0.9047619047619048,1.576036866359447,1.0,1.2127659574468086,7.3047,0.27361899845121324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
99,0.08258928571428559,4.85,1.5055,0.04965544976657932,535.488,6.14,18.328333166666667,0.012371134020618735,0.24021791777028634,1.0825892857142856,0.5271739130434783,1.0825892857142856,0.7163958641063516,1.0825892857142856,1.3111,0.4626902135976546,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
100,0.08283313325330122,9.02,1.1917,0.04965544976657932,257.4849,6.14,18.328333166666667,0.012195121951219745,1.0,2.4644808743169397,1.0,1.4317460317460318,1.0,1.2272108843537415,4.1217,0.49672935404742435,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
101,0.13748720863151775,55.68,0.8659,0.04965544976657932,1050.1805,6.14,18.328333166666667,-0.003951167385057519,1.0,1.2608695652173914,1.0,1.1374872086315178,1.0,1.1374872086315178,2.3446,0.51171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
102,0.08235290888121227,2.760001,1.2357,0.04965544976657932,7101.7891,6.14,18.328333166666667,0.03260868383743332,0.9787234118002086,1.6932511084349027,1.0,1.4680848574016716,1.0,1.2602738537562312,469.3429,1.4253731343283582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
103,0.1574343601518089,31.76,1.2694,0.04965544976657932,2534.3845,6.14,18.328333166666667,0.0022040302267001266,1.0,2.227208976157083,1.0,1.3480475954179796,1.0,1.2062286365362707,4.8457,0.2954995642183662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
104,0.11172014848028855,42.59,1.2603,0.04965544976657932,2170.4387,6.14,18.328333166666667,-0.005869922517022785,0.8524820026517616,1.6840647811757699,0.9967236133863797,1.1765193045160414,1.0,1.1526386697526747,4.5426,0.3657354788538613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
105,0.07994871255376146,75.779999,1.21,0.07133863851462818,2012.5635,6.05,18.055000000000003,-0.0062021774373474114,1.0,1.6702667108280078,1.0,1.1480078276622383,1.0,1.0922456367359024,22.0441,0.5336713995943205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
